Sample,TS,VLP,Neck,Neck Diameter 1,Neck Diameter 2,Neck Energy,Sphere Diameter,Sphere Energy,Mean Curvature Neck,Std of Mean Curvature Sphere
3,2,1,True,NaN,NaN,0.04089247018880679,76.20147320463677,0.04270793675528373,0.013884782682292804,0.01611420800470079
3,2,2,False,NaN,NaN,NaN,65.70182918834213,0.08381818681981182,0.013884782682292804,0.02605276429636095
3,3,1,True,24.669654692867866,18.253478249241628,0.03170438765251629,87.03655554301926,0.024976476524843635,0.010985311311567368,0.009623036525486796
3,3,2,True,18.15972358750725,15.621548503886803,0.04476464087196852,70.82102057166327,0.038416958040365906,0.008939769907804079,0.012733712864097134
3,3,3,True,NaN,NaN,0.07196993576321448,84.58427643655939,0.03325258193576915,0.0010007990032954398,0.013423703278764099
3,3,4,True,22.574019237142483,14.612666808965482,0.024503154009731663,81.55546138069383,0.026527519257126344,0.007101554613443535,0.008262780667682875
3,3,5,True,33.11764922959691,20.317357531886422,0.046088667532068396,85.07481576102899,0.022476715759506955,0.01721858852056367,0.006888000767681709
3,4,1,True,NaN,NaN,0.06511859503875636,78.70692294387065,0.05073008858818232,-0.0010393618094655865,0.019998556489342904
3,4,2,True,NaN,NaN,0.03427735328611823,77.89012353607193,0.04044418877661971,0.00628540282681383,0.017091480068549797
3,4,3,True,NaN,NaN,0.06779082898894818,76.52252982579155,0.08810160541607268,-0.010212433579703212,0.030265326918847677
3,4,4,True,NaN,NaN,0.026749169479452113,82.56083099698697,0.029232525456475634,0.004166989774889213,0.013481135896804653
3,5,1,True,NaN,NaN,0.02822448785080594,68.57942918433722,0.05746208808738831,0.0015532953988893364,0.01775209318148249
3,6,1,True,NaN,NaN,0.04199486094530316,78.50114111884447,0.031039517542237674,0.011063433633417443,0.013287854714933324
3,6,2,True,NaN,NaN,0.08110814639465891,68.88658057331878,0.09858958748831403,-0.01580281476967236,0.03136448496268388
3,6,3,True,27.829059347062167,22.695474691325597,0.04247994886928155,83.66603308813573,0.026551370826107087,0.01814156610454327,0.011537965784272025
3,6,4,False,NaN,NaN,NaN,65.51389801281303,0.04221055127440483,0.01814156610454327,0.012068433671428718
3,6,5,False,NaN,NaN,NaN,71.2351423661837,0.07420226408422054,0.01814156610454327,0.02562547991136408
4,3,1,True,NaN,NaN,0.03027964945842412,112.11752114423635,0.07868714455657053,-0.0033096141410905344,0.031145300784145055
4,3,2,False,NaN,NaN,NaN,93.6320975022541,0.051090176390783656,-0.0033096141410905344,0.020816833161633252
4,3,3,False,NaN,NaN,NaN,105.23027460377735,0.04100359929643576,-0.0033096141410905344,0.0148153871407558
4,3,4,False,NaN,NaN,NaN,101.00897645051603,0.03906995485540004,-0.0033096141410905344,0.01844843636448209
4,3,5,False,NaN,NaN,NaN,97.2541653905825,0.023838069705394965,-0.0033096141410905344,0.010546299857366511
4,3,6,False,NaN,NaN,NaN,110.41422920478145,0.03212501998178043,-0.0033096141410905344,0.014040679327069087
4,3,7,False,NaN,NaN,NaN,99.4270898665264,0.06385826398603484,-0.0033096141410905344,0.026937885430657397
4,3,8,False,NaN,NaN,NaN,112.01446220372688,0.046845336529609975,-0.0033096141410905344,0.019436369851667915
4,3,9,False,NaN,NaN,NaN,78.94832407762635,0.054979642178086596,-0.0033096141410905344,0.02104408857631849
4,4,1,True,NaN,NaN,0.043235040344053,114.19949136004857,0.026609466568723615,-0.004450028425172575,0.013048429507651914
4,4,2,False,NaN,NaN,NaN,92.58736156921249,0.0350472638536164,-0.004450028425172575,0.014400486813205559
4,4,3,False,NaN,NaN,NaN,80.51586145812892,0.03937528854930542,-0.004450028425172575,0.01608853517950801
4,5,1,True,NaN,NaN,0.04318101523471524,110.8923501581188,0.044895260250536334,-0.0014581735783937696,0.01981817320467166
4,5,2,True,NaN,NaN,0.061014952518371544,84.09871373806138,0.04924343625585073,0.00140078269811382,0.019327983868955324
4,5,3,False,NaN,NaN,NaN,74.0547437800775,0.06244813006559423,0.00140078269811382,0.023016657789659608
5,7,1,True,22.681283977594617,22.16373215827172,0.02887219856843676,83.34753372611321,0.04421880449848151,0.00805904470552353,0.01866523458497825
5,7,2,True,NaN,NaN,0.04390911179682463,82.74906455868792,0.03713076622272769,0.005828916586762744,0.015874818458062417
5,7,3,True,27.126725174384987,21.55706550437422,0.025756798629304856,78.68337872608605,0.043103849816237765,0.010288892441988556,0.018057838743724536
5,7,4,True,23.47985666373185,15.876530523670265,0.0646063627094015,81.01980017435397,0.03029095070216627,0.01426018796840275,0.011942838708584211
5,7,5,False,NaN,NaN,NaN,92.63646267793794,0.0186705216719719,0.01426018796840275,0.0057803118077657464
5,7,6,False,NaN,NaN,NaN,77.67937650437447,0.030143012046920867,0.01426018796840275,0.010215063637938763
5,7,7,False,NaN,NaN,NaN,82.59710094791461,0.04217446955695247,0.01426018796840275,0.018314926415187498
